Age,Annual_salary,Currency,Country,professional_work_experience_overall,professional_work_experience_field,education_level,Gender,grouped_industry,salary_in_usd
18-24,4800.0,USD,US,2 - 4 years,1 year or less,College degree,Woman,Marketing,4800.0
18-24,31800.0,USD,US,5-7 years,5-7 years,College degree,Woman,Education,31800.0
25-34,65000.0,USD,US,8 - 10 years,5-7 years,Some college,Woman,Healthcare,65000.0
18-24,73000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Accounting,73000.0
25-34,79000.0,CAD,Canada,5-7 years,2 - 4 years,College degree,Woman,Communication,56880.0
18-24,56.0,USD,US,5-7 years,1 year or less,College degree,Man,Media,56.0
18-24,18720.0,USD,US,1 year or less,1 year or less,Some college,Man,Student,18720.0
18-24,15080.0,USD,US,2 - 4 years,2 - 4 years,Some college,Man,Food,15080.0
25-34,75000.0,USD,US,8 - 10 years,8 - 10 years,,Woman,Administration,75000.0
25-34,70000.0,USD,US,5-7 years,8 - 10 years,College degree,Man,Communication,70000.0
35-44,60000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Business,60000.0
35-44,57000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Computing,57000.0
35-44,110000.0,GBP,UK,21 - 30 years,21 - 30 years,Master's degree,Man,Computing,141900.0
35-44,172000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Healthcare,172000.0
25-34,100800.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Communication,100800.0
25-34,25000.0,EUR,Spain,8 - 10 years,5-7 years,High School,Man,Education,27250.000000000004
25-34,65000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Education,65000.0
25-34,120500.0,CAD,Canada,8 - 10 years,5-7 years,College degree,Woman,Marketing,86760.0
35-44,64000.0,USD,US,11 - 20 years,5-7 years,Master's degree,Woman,Nonprofits,64000.0
25-34,61000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Administration,61000.0
35-44,68000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Retail,68000.0
25-34,120000.0,USD,US,5-7 years,5-7 years,PhD,Woman,Healthcare,120000.0
35-44,175000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Business,175000.0
25-34,57000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Business,57000.0
25-34,69333.0,USD,US,8 - 10 years,5-7 years,Some college,Woman,Property,69333.0
25-34,70000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Healthcare,70000.0
25-34,424823.0,Other,Thailand,5-7 years,5-7 years,College degree,Woman,Engineering,424823.0
25-34,41600.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Retail,41600.0
25-34,80000.0,CAD,Canada,1 year or less,1 year or less,Master's degree,Woman,Computing,57600.0
18-24,10000.0,Other,Turkey,2 - 4 years,2 - 4 years,,Man,Computing,10000.0
25-34,75000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Transportation,75000.0
25-34,45760.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Computing,45760.0
25-34,55000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Military,55000.0
35-44,90000.0,USD,US,21 - 30 years,8 - 10 years,College degree,Woman,Other,90000.0
55-64,130000.0,USD,US,21 - 30 years,21 - 30 years,Some college,Woman,Computing,130000.0
25-34,85000.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Nonprofits,85000.0
18-24,60000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,E-commerce,60000.0
25-34,115000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Property,115000.0
18-24,10000.0,USD,US,1 year or less,1 year or less,High School,Man,Student,10000.0
18-24,28600.0,USD,US,2 - 4 years,1 year or less,Some college,Man,Construction,28600.0
25-34,93000.0,CAD,Canada,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Administration,66960.0
35-44,155000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Business,155000.0
18-24,880.0,USD,India,2 - 4 years,2 - 4 years,College degree,Man,Education,880.0
18-24,80100.0,USD,US,1 year or less,1 year or less,Master's degree,Woman,Engineering,80100.0
25-34,80000.0,EUR,Germany,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Media,87200.0
25-34,105000.0,AUD/NZD,Australia,2 - 4 years,2 - 4 years,College degree,Man,Healthcare,69300.0
25-34,125000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Engineering,125000.0
25-34,60000.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Education,60000.0
25-34,62500.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Sales,62500.0
25-34,135000.0,AUD/NZD,Australia,2 - 4 years,2 - 4 years,Some college,Non-binary,Computing,89100.0
25-34,64220.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Education,64220.0
25-34,72000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Accounting,72000.0
25-34,160000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Computing,160000.0
25-34,75000.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Accounting,75000.0
35-44,270000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Computing,270000.0
65 or over,30000.0,ZAR,South Africa,41 years or more,41 years or more,High School,Man,Other,1650.0
65 or over,30000.0,ZAR,South Africa,41 years or more,41 years or more,,Man,Other,1650.0
25-34,92000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Computing,92000.0
35-44,52000.0,USD,US,11 - 20 years,5-7 years,Master's degree,Woman,Library,52000.0
45-54,44267.0,USD,US,21 - 30 years,11 - 20 years,Some college,Woman,Transportation,44267.0
35-44,100000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Engineering,100000.0
35-44,175000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Computing,175000.0
35-44,85000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Healthcare,85000.0
25-34,95000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Accounting,95000.0
18-24,50000.0,USD,US,2 - 4 years,1 year or less,Some college,Man,Education,50000.0
25-34,110000.0,AUD/NZD,New Zealand,5-7 years,2 - 4 years,College degree,Woman,Business,72600.0
25-34,50000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Education,50000.0
25-34,105570.0,AUD/NZD,New Zealand,8 - 10 years,8 - 10 years,College degree,Man,Computing,69676.2
25-34,65000.0,AUD/NZD,New Zealand,2 - 4 years,2 - 4 years,Master's degree,,Computing,42900.0
18-24,75000.0,AUD/NZD,New Zealand,1 year or less,2 - 4 years,Master's degree,Woman,Computing,49500.0
45-54,105000.0,AUD/NZD,New Zealand,31 - 40 years,11 - 20 years,College degree,Woman,Administration,69300.0
35-44,103000.0,AUD/NZD,New Zealand,8 - 10 years,8 - 10 years,Master's degree,Man,Administration,67980.0
18-24,70000.0,AUD/NZD,New Zealand,1 year or less,1 year or less,College degree,Woman,Nonprofits,46200.0
45-54,129000.0,USD,US,11 - 20 years,21 - 30 years,College degree,Man,Business,129000.0
55-64,36000.0,USD,US,21 - 30 years,2 - 4 years,College degree,Woman,Law,36000.0
25-34,62400.0,USD,US,5-7 years,2 - 4 years,Master's degree,,Engineering,62400.0
35-44,60000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Education,60000.0
18-24,60000.0,AUD/NZD,New Zealand,1 year or less,1 year or less,Master's degree,Woman,Computing,39600.0
35-44,205000.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Man,Transportation,205000.0
25-34,114000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Computing,114000.0
35-44,36100.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,36100.0
35-44,28000.0,GBP,UK,11 - 20 years,8 - 10 years,High School,Woman,Communication,36120.0
25-34,50000.0,CAD,Canada,2 - 4 years,2 - 4 years,Master's degree,Woman,Publishing,36000.0
18-24,60000.0,GBP,UK,2 - 4 years,2 - 4 years,College degree,Woman,Business,77400.0
25-34,128000.0,AUD/NZD,Australia,8 - 10 years,5-7 years,College degree,Man,Business,84480.0
35-44,165000.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Computing,165000.0
25-34,52000.0,USD,US,11 - 20 years,5-7 years,Some college,Man,Healthcare,52000.0
35-44,125000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Computing,125000.0
25-34,42000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Nonprofits,42000.0
35-44,45000.0,GBP,UK,11 - 20 years,11 - 20 years,College degree,Man,Education,58050.0
18-24,65000.0,USD,US,1 year or less,1 year or less,College degree,Man,Engineering,65000.0
25-34,130000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Man,Engineering,130000.0
25-34,60000.0,CAD,Canada,1 year or less,1 year or less,Master's degree,Man,Healthcare,43200.0
35-44,135000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Retail,135000.0
35-44,155000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Sales,155000.0
25-34,135000.0,USD,US,8 - 10 years,2 - 4 years,Some college,Woman,Computing,135000.0
25-34,52000.0,USD,US,5-7 years,5-7 years,College degree,Man,Retail,52000.0
35-44,74880.0,USD,US,8 - 10 years,8 - 10 years,Some college,Man,Computing,74880.0
35-44,43000.0,USD,US,21 - 30 years,8 - 10 years,Some college,Man,Computing,43000.0
35-44,175000.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Marketing,175000.0
25-34,49000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Administration,49000.0
25-34,56000.0,USD,US,5-7 years,2 - 4 years,High School,Man,Engineering,56000.0
25-34,33000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Retail,33000.0
35-44,68000.0,USD,US,11 - 20 years,11 - 20 years,High School,Man,Engineering,68000.0
35-44,80282.0,USD,US,11 - 20 years,1 year or less,College degree,Woman,Administration,80282.0
25-34,145000.0,USD,US,5-7 years,5-7 years,College degree,Man,Business,145000.0
35-44,145000.0,USD,US,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Business,145000.0
35-44,100000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Events,100000.0
35-44,102000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,102000.0
25-34,87000.0,CAD,Canada,5-7 years,5-7 years,College degree,Woman,Accounting,62640.0
25-34,47000.0,EUR,France,2 - 4 years,2 - 4 years,Master's degree,Man,Business,51230.00000000001
25-34,106000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Engineering,106000.0
35-44,101000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Engineering,101000.0
45-54,224000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Man,Nonprofits,224000.0
25-34,68000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Healthcare,68000.0
25-34,35000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Events,35000.0
35-44,110000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Man,Events,110000.0
25-34,115000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Computing,115000.0
35-44,90000.0,CAD,Canada,11 - 20 years,11 - 20 years,High School,Man,Transportation,64800.0
18-24,34000.0,USD,US,2 - 4 years,2 - 4 years,High School,Man,Property,34000.0
25-34,39000.0,EUR,Netherlands,2 - 4 years,1 year or less,Master's degree,Woman,Computing,42510.0
25-34,87000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Computing,87000.0
35-44,22300.0,GBP,UK,8 - 10 years,2 - 4 years,Master's degree,Other or prefer not to answer,Healthcare,28767.0
35-44,58000.0,USD,US,11 - 20 years,11 - 20 years,PhD,Woman,Healthcare,58000.0
25-34,55000.0,CAD,Canada,2 - 4 years,1 year or less,College degree,Woman,Property,39600.0
35-44,60000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Education,60000.0
18-24,42500.0,USD,US,1 year or less,1 year or less,Some college,Man,Engineering,42500.0
25-34,54000.0,GBP,UK,11 - 20 years,8 - 10 years,Master's degree,Man,Engineering,69660.0
35-44,2350.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Man,Student,2350.0
35-44,51000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Engineering,51000.0
18-24,25000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Healthcare,25000.0
25-34,95500.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Computing,95500.0
25-34,72100.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Engineering,72100.0
35-44,74000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Art,74000.0
18-24,43000.0,USD,US,2 - 4 years,1 year or less,Master's degree,Woman,Administration,43000.0
25-34,69201.0,USD,US,5-7 years,5-7 years,College degree,Man,Accounting,69201.0
25-34,120000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Man,Business,120000.0
25-34,145000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Man,Media,145000.0
45-54,92331.0,USD,US,21 - 30 years,21 - 30 years,Some college,Woman,Administration,92331.0
18-24,45000.0,USD,US,5-7 years,5-7 years,College degree,Man,Computing,45000.0
35-44,95000.0,USD,Singapore,11 - 20 years,8 - 10 years,PhD,Man,Other,95000.0
35-44,95000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,HR,95000.0
25-34,32000.0,EUR,Netherlands,2 - 4 years,5-7 years,Master's degree,Man,Automotive,34880.0
25-34,135000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Computing,135000.0
25-34,52000.0,USD,US,2 - 4 years,1 year or less,College degree,Man,Pharmaceuticals,52000.0
35-44,70000.0,EUR,Germany,5-7 years,5-7 years,Master's degree,Man,Computing,76300.0
35-44,53000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Education,53000.0
45-54,92500.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Man,Administration,92500.0
18-24,39000.0,USD,US,2 - 4 years,1 year or less,Some college,Non-binary,Engineering,39000.0
25-34,22800.0,USD,US,2 - 4 years,5-7 years,Master's degree,Man,Education,22800.0
55-64,56000.0,USD,US,31 - 40 years,31 - 40 years,College degree,Woman,Engineering,56000.0
25-34,30410.0,USD,US,8 - 10 years,2 - 4 years,Some college,Man,Law,30410.0
35-44,125000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,125000.0
45-54,78000.0,USD,US,21 - 30 years,21 - 30 years,Some college,Man,Insurance,78000.0
55-64,62400.0,USD,US,31 - 40 years,31 - 40 years,Some college,Man,Transportation,62400.0
25-34,157000.0,USD,US,5-7 years,5-7 years,College degree,Man,Computing,157000.0
25-34,122950.0,USD,US,11 - 20 years,8 - 10 years,College degree,Man,Computing,122950.0
25-34,70000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Healthcare,70000.0
25-34,94000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Man,Nonprofits,94000.0
25-34,40000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Transportation,40000.0
35-44,145000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Computing,145000.0
25-34,76500.0,USD,US,5-7 years,5-7 years,College degree,Man,Communication,76500.0
25-34,70000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Engineering,70000.0
18-24,26000.0,USD,US,1 year or less,1 year or less,Some college,Man,Retail,26000.0
25-34,18000.0,USD,US,11 - 20 years,2 - 4 years,High School,Man,Transportation,18000.0
25-34,2975.0,EUR,Cyprus,2 - 4 years,1 year or less,College degree,Man,Military,3242.7500000000005
25-34,37500.0,USD,US,2 - 4 years,1 year or less,College degree,Woman,Property,37500.0
45-54,146000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Man,Computing,146000.0
25-34,110000.0,USD,US,8 - 10 years,8 - 10 years,Some college,Man,Communication,110000.0
35-44,150000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Art,150000.0
25-34,79000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Engineering,79000.0
25-34,111000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Retail,111000.0
18-24,52000.0,USD,US,2 - 4 years,1 year or less,College degree,Man,Engineering,52000.0
18-24,29000.0,USD,US,2 - 4 years,1 year or less,Some college,Woman,Retail,29000.0
25-34,66000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Environmental,66000.0
25-34,70000.0,USD,US,5-7 years,5-7 years,College degree,Man,Sales,70000.0
35-44,450000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Accounting,450000.0
18-24,90000.0,USD,US,1 year or less,1 year or less,College degree,Man,Computing,90000.0
18-24,40560.0,USD,US,5-7 years,5-7 years,Some college,Man,Retail,40560.0
25-34,84000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,84000.0
25-34,70900.0,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,Engineering,51048.0
25-34,104500.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Computing,104500.0
25-34,100000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,E-commerce,100000.0
25-34,95000.0,USD,US,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Healthcare,95000.0
25-34,40000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Communication,40000.0
25-34,81500.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Computing,81500.0
25-34,98000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Engineering,98000.0
25-34,130000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Healthcare,130000.0
55-64,81000.0,USD,US,31 - 40 years,21 - 30 years,College degree,Man,Computing,81000.0
18-24,41330.0,EUR,Netherlands,5-7 years,5-7 years,College degree,Man,Agriculture,45049.700000000004
18-24,95000.0,USD,US,2 - 4 years,1 year or less,Master's degree,Man,Communication,95000.0
25-34,62000.0,EUR,Germany,2 - 4 years,2 - 4 years,College degree,Man,Accounting,67580.0
35-44,82000.0,USD,US,8 - 10 years,8 - 10 years,Some college,Woman,Computing,82000.0
55-64,40476.0,USD,US,41 years or more,8 - 10 years,Some college,Man,Manufacturing,40476.0
25-34,70000.0,CAD,Canada,2 - 4 years,2 - 4 years,College degree,Man,Computing,50400.0
18-24,75000.0,USD,US,1 year or less,1 year or less,College degree,Man,Engineering,75000.0
25-34,180000.0,USD,US,11 - 20 years,2 - 4 years,High School,Man,Computing,180000.0
35-44,55000.0,USD,US,21 - 30 years,11 - 20 years,High School,Man,Marketing,55000.0
18-24,59850.0,USD,US,1 year or less,1 year or less,College degree,,Healthcare,59850.0
25-34,91000.0,USD,US,5-7 years,5-7 years,Master's degree,Man,Engineering,91000.0
25-34,105000.0,USD,US,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Healthcare,105000.0
25-34,38480.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Marketing,38480.0
18-24,44000.0,USD,US,2 - 4 years,1 year or less,Some college,Man,Education,44000.0
25-34,122000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Marketing,122000.0
25-34,140000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Computing,140000.0
25-34,175000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Engineering,175000.0
35-44,82500.0,USD,US,21 - 30 years,8 - 10 years,College degree,Woman,Art,82500.0
35-44,114000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Engineering,114000.0
25-34,25740.0,USD,US,5-7 years,5-7 years,College degree,Woman,Other,25740.0
35-44,44000.0,EUR,Belgium,11 - 20 years,5-7 years,Master's degree,Woman,Computing,47960.0
25-34,39000.0,GBP,UK,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Engineering,50310.0
35-44,65000.0,GBP,UK,11 - 20 years,11 - 20 years,College degree,Man,Engineering,83850.0
35-44,93000.0,USD,US,8 - 10 years,11 - 20 years,Master's degree,Man,Events,93000.0
25-34,106000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Engineering,106000.0
25-34,46280.0,USD,US,11 - 20 years,2 - 4 years,Some college,Man,Other,46280.0
35-44,65000.0,GBP,UK,11 - 20 years,2 - 4 years,College degree,Man,Computing,83850.0
25-34,47370.0,USD,Hong Kong,5-7 years,5-7 years,College degree,Woman,Media,47370.0
25-34,60000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Man,Transportation,60000.0
25-34,130000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Man,Computing,130000.0
25-34,8000000.0,JPY,Japan,5-7 years,5-7 years,Master's degree,Man,Engineering,52000.0
18-24,86000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Computing,86000.0
35-44,68500.0,GBP,UK,11 - 20 years,11 - 20 years,Master's degree,Man,Business,88365.0
25-34,66000.0,GBP,UK,5-7 years,5-7 years,College degree,Man,Communication,85140.0
35-44,188000.0,USD,US,11 - 20 years,2 - 4 years,PhD,Man,Healthcare,188000.0
25-34,50000.0,GBP,UK,2 - 4 years,2 - 4 years,PhD,Man,Computing,64500.0
35-44,180000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Computing,180000.0
25-34,105000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Business,105000.0
45-54,110000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Marketing,110000.0
18-24,65520.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Engineering,65520.0
18-24,14000.0,USD,US,5-7 years,5-7 years,Some college,Woman,Events,14000.0
35-44,72000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Education,72000.0
25-34,80000.0,USD,US,5-7 years,2 - 4 years,College degree,,Engineering,80000.0
25-34,105000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Man,Engineering,105000.0
25-34,56000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Other or prefer not to answer,Transportation,56000.0
35-44,103000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Healthcare,103000.0
25-34,145000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Engineering,145000.0
25-34,128960.0,USD,US,5-7 years,5-7 years,College degree,Man,Other,128960.0
35-44,165000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Man,Communication,165000.0
25-34,36795.0,USD,US,11 - 20 years,2 - 4 years,,Man,Computing,36795.0
45-54,122000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Man,Engineering,122000.0
25-34,39456.0,USD,US,5-7 years,1 year or less,College degree,Woman,Customer service,39456.0
25-34,110000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Transportation,110000.0
35-44,42000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Engineering,42000.0
35-44,80000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Man,Education,80000.0
35-44,84000.0,USD,US,11 - 20 years,8 - 10 years,Some college,Man,Engineering,84000.0
25-34,55000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Man,Accounting,55000.0
25-34,80000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Engineering,80000.0
35-44,90000.0,USD,US,11 - 20 years,5-7 years,College degree,Man,Healthcare,90000.0
35-44,150000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Sales,150000.0
55-64,28080.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Nonprofits,28080.0
45-54,112000.0,CAD,Canada,21 - 30 years,21 - 30 years,Some college,Man,Computing,80640.0
25-34,72000.0,EUR,Germany,2 - 4 years,2 - 4 years,Master's degree,Man,Computing,78480.0
35-44,93000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Other,93000.0
55-64,65520.0,USD,US,31 - 40 years,11 - 20 years,Some college,Man,Other,65520.0
25-34,110000.0,EUR,Netherlands,5-7 years,2 - 4 years,Master's degree,Man,Marketing,119900.00000000001
45-54,118000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,118000.0
25-34,45000.0,USD,US,2 - 4 years,5-7 years,College degree,Man,Education,45000.0
25-34,68000.0,USD,US,11 - 20 years,5-7 years,Some college,Man,Engineering,68000.0
35-44,91250.0,USD,US,11 - 20 years,5-7 years,College degree,Man,Computing,91250.0
18-24,15000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Computing,15000.0
25-34,97000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Nonprofits,97000.0
18-24,55000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Healthcare,55000.0
